Model	Date	Time	WxFile	Long	Lat	JdStart	JdEnd	Month	Day	Year	dd	bales	TempIncr	PbwEggt	PbwLrDys	PbwAdDys	PbwL/Bol	FromDiap	ToDiap	PbwCldLx	Tddb10
CotsimGIS	26Jul13	6:37:30-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1633.txt	84.6870	22.6350	281	365	12	31	Avg	2548.9508	1.5457	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	17.8148	
CotsimGIS	26Jul13	6:37:34-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1634.txt	85.0000	22.6350	281	365	12	31	Avg	2494.0000	1.5987	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	19.2280	
CotsimGIS	26Jul13	6:37:38-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1635.txt	85.3120	22.6350	281	365	12	31	Avg	2471.8033	1.5002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	18.2873	
CotsimGIS	26Jul13	6:37:41-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1636.txt	85.6250	22.6350	281	365	12	31	Avg	2521.1475	1.4392	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	13.8222	
CotsimGIS	26Jul13	6:37:44-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1637.txt	85.9370	22.6350	280	365	12	31	Avg	2633.9344	1.5467	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	8.2839	
CotsimGIS	26Jul13	6:37:48-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1638.txt	86.2500	22.6350	281	365	12	31	Avg	2763.6885	1.6892	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	5.8511	
CotsimGIS	26Jul13	6:37:52-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1639.txt	86.5620	22.6350	352	365	12	31	Avg	2847.4590	1.9331	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	3.5007	
CotsimGIS	26Jul13	6:37:56-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1700.txt	85.3120	22.3230	281	365	12	31	Avg	2480.7705	1.4120	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	21.3740	
CotsimGIS	26Jul13	6:37:59-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1701.txt	85.6250	22.3230	280	365	12	31	Avg	2533.4426	1.3597	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	19.3150	
CotsimGIS	26Jul13	6:38:03-AM	C:\models\wx\CFSR_India_wx\CFSR_India_JH_grid_1702.txt	85.9370	22.3230	280	365	12	31	Avg	2612.6393	1.5880	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	14.8488	
