Long	Lat	Bloomday
-7.375	37.625	98.0
-7.375	37.375	101.0
-7.125	37.875	106.0
-7.125	37.625	99.0
-7.125	37.375	101.0
-6.875	38.125	115.0
-6.875	37.875	105.0
-6.875	37.625	97.0
-6.875	37.375	98.0
-6.625	37.875	109.0
-6.625	37.625	99.0
-6.625	37.375	99.0
-6.625	37.125	90.0
-6.375	37.875	113.0
-6.375	37.625	101.0
-6.375	37.375	94.0
-6.375	37.125	86.0
-6.375	36.875	95.0
-6.125	37.875	114.0
-6.125	37.625	100.0
-6.125	37.375	94.0
-6.125	37.125	87.0
-6.125	36.875	95.0
-6.125	36.625	95.0
-6.125	36.375	99.0
-5.875	38.125	124.0
-5.875	37.875	110.0
-5.875	37.625	100.0
-5.875	37.375	87.0
-5.875	37.125	85.0
-5.875	36.875	93.0
-5.875	36.625	90.0
-5.875	36.375	94.0
-5.625	38.125	122.0
-5.625	37.875	108.0
-5.625	37.625	100.0
-5.625	37.375	91.0
-5.625	37.125	93.0
-5.625	36.875	101.0
-5.625	36.625	98.0
-5.625	36.375	99.0
-5.625	36.125	92.0
-5.375	38.375	132.0
-5.375	38.125	123.0
-5.375	37.875	101.0
-5.375	37.625	95.0
-5.375	37.375	93.0
-5.375	37.125	99.0
-5.375	36.875	135.0
-5.375	36.625	127.0
-5.375	36.375	98.0
-5.125	38.625	126.0
-5.125	38.375	134.0
-5.125	38.125	124.0
-5.125	37.875	101.0
-5.125	37.625	97.0
-5.125	37.375	96.0
-5.125	37.125	100.0
-5.125	36.875	135.0
-5.125	36.625	124.0
-4.875	38.625	126.0
-4.875	38.375	141.0
-4.875	38.125	128.0
-4.875	37.875	105.0
-4.875	37.625	103.0
-4.875	37.375	104.0
-4.875	37.125	109.0
-4.875	36.875	111.0
-4.875	36.625	99.0
-4.625	38.375	143.0
-4.625	38.125	129.0
-4.625	37.875	106.0
-4.625	37.625	105.0
-4.625	37.375	108.0
-4.625	37.125	110.0
-4.625	36.875	110.0
-4.625	36.625	94.0
-4.375	38.125	127.0
-4.375	37.875	101.0
-4.375	37.625	103.0
-4.375	37.375	118.0
-4.375	37.125	116.0
-4.375	36.875	111.0
-4.125	38.375	141.0
-4.125	38.125	129.0
-4.125	37.875	104.0
-4.125	37.625	110.0
-4.125	37.375	127.0
-4.125	37.125	122.0
-4.125	36.875	116.0
-3.875	38.375	132.0
-3.875	38.125	121.0
-3.875	37.875	104.0
-3.875	37.625	119.0
-3.875	37.375	133.0
-3.875	37.125	123.0
-3.875	36.875	114.0
-3.625	38.375	134.0
-3.625	38.125	125.0
-3.625	37.875	109.0
-3.625	37.625	127.0
-3.625	37.375	139.0
-3.625	37.125	129.0
-3.625	36.875	121.0
-3.375	38.375	125.0
-3.375	38.125	119.0
-3.375	37.875	112.0
-3.375	37.625	134.0
-3.375	37.375	162.0
-3.375	37.125	158.0
-3.375	36.875	146.0
-3.125	38.375	135.0
-3.125	38.125	132.0
-3.125	37.875	126.0
-3.125	37.625	137.0
-3.125	37.375	162.0
-3.125	37.125	156.0
-3.125	36.875	143.0
-2.875	38.375	143.0
-2.875	38.125	143.0
-2.875	37.875	145.0
-2.875	37.625	148.0
-2.875	37.375	186.0
-2.875	37.125	169.0
-2.875	36.875	117.0
-2.625	38.375	148.0
-2.625	38.125	149.0
-2.625	37.875	150.0
-2.625	37.625	148.0
-2.625	37.375	183.0
-2.625	37.125	166.0
-2.625	36.875	106.0
-2.375	37.875	161.0
-2.375	37.625	158.0
-2.375	37.375	160.0
-2.375	37.125	146.0
-2.375	36.875	108.0
-2.125	37.875	158.0
-2.125	37.625	149.0
-2.125	37.375	151.0
-2.125	37.125	136.0
-2.125	36.875	101.0
-1.875	37.375	122.0
-1.875	37.125	105.0
