Long	Lat	Bloomday
-7.375	37.625	102.0
-7.375	37.375	101.0
-7.125	37.875	115.0
-7.125	37.625	106.0
-7.125	37.375	102.0
-6.875	38.125	118.0
-6.875	37.875	112.0
-6.875	37.625	101.0
-6.875	37.375	100.0
-6.625	37.875	116.0
-6.625	37.625	103.0
-6.625	37.375	101.0
-6.625	37.125	87.0
-6.375	37.875	117.0
-6.375	37.625	103.0
-6.375	37.375	96.0
-6.375	37.125	84.0
-6.375	36.875	90.0
-6.125	37.875	116.0
-6.125	37.625	102.0
-6.125	37.375	97.0
-6.125	37.125	88.0
-6.125	36.875	95.0
-6.125	36.625	92.0
-6.125	36.375	101.0
-5.875	38.125	123.0
-5.875	37.875	115.0
-5.875	37.625	101.0
-5.875	37.375	93.0
-5.875	37.125	88.0
-5.875	36.875	97.0
-5.875	36.625	92.0
-5.875	36.375	95.0
-5.625	38.125	121.0
-5.625	37.875	113.0
-5.625	37.625	101.0
-5.625	37.375	95.0
-5.625	37.125	96.0
-5.625	36.875	104.0
-5.625	36.625	99.0
-5.625	36.375	99.0
-5.625	36.125	90.0
-5.375	38.375	131.0
-5.375	38.125	123.0
-5.375	37.875	105.0
-5.375	37.625	98.0
-5.375	37.375	97.0
-5.375	37.125	102.0
-5.375	36.875	132.0
-5.375	36.625	124.0
-5.375	36.375	100.0
-5.125	38.625	128.0
-5.125	38.375	133.0
-5.125	38.125	123.0
-5.125	37.875	104.0
-5.125	37.625	99.0
-5.125	37.375	99.0
-5.125	37.125	103.0
-5.125	36.875	132.0
-5.125	36.625	121.0
-4.875	38.625	128.0
-4.875	38.375	138.0
-4.875	38.125	128.0
-4.875	37.875	112.0
-4.875	37.625	106.0
-4.875	37.375	111.0
-4.875	37.125	115.0
-4.875	36.875	117.0
-4.875	36.625	100.0
-4.625	38.375	139.0
-4.625	38.125	128.0
-4.625	37.875	112.0
-4.625	37.625	111.0
-4.625	37.375	114.0
-4.625	37.125	115.0
-4.625	36.875	115.0
-4.625	36.625	95.0
-4.375	38.125	127.0
-4.375	37.875	106.0
-4.375	37.625	109.0
-4.375	37.375	120.0
-4.375	37.125	118.0
-4.375	36.875	118.0
-4.125	38.375	139.0
-4.125	38.125	129.0
-4.125	37.875	111.0
-4.125	37.625	117.0
-4.125	37.375	127.0
-4.125	37.125	122.0
-4.125	36.875	120.0
-3.875	38.375	134.0
-3.875	38.125	123.0
-3.875	37.875	113.0
-3.875	37.625	121.0
-3.875	37.375	132.0
-3.875	37.125	123.0
-3.875	36.875	117.0
-3.625	38.375	135.0
-3.625	38.125	125.0
-3.625	37.875	118.0
-3.625	37.625	127.0
-3.625	37.375	137.0
-3.625	37.125	129.0
-3.625	36.875	121.0
-3.375	38.375	131.0
-3.375	38.125	123.0
-3.375	37.875	120.0
-3.375	37.625	134.0
-3.375	37.375	162.0
-3.375	37.125	158.0
-3.375	36.875	143.0
-3.125	38.375	136.0
-3.125	38.125	133.0
-3.125	37.875	128.0
-3.125	37.625	137.0
-3.125	37.375	162.0
-3.125	37.125	156.0
-3.125	36.875	141.0
-2.875	38.375	143.0
-2.875	38.125	143.0
-2.875	37.875	144.0
-2.875	37.625	146.0
-2.875	37.375	181.0
-2.875	37.125	173.0
-2.875	36.875	119.0
-2.625	38.375	146.0
-2.625	38.125	148.0
-2.625	37.875	148.0
-2.625	37.625	146.0
-2.625	37.375	179.0
-2.625	37.125	169.0
-2.625	36.875	112.0
-2.375	37.875	163.0
-2.375	37.625	160.0
-2.375	37.375	160.0
-2.375	37.125	146.0
-2.375	36.875	111.0
-2.125	37.875	160.0
-2.125	37.625	152.0
-2.125	37.375	150.0
-2.125	37.125	138.0
-2.125	36.875	101.0
-1.875	37.375	122.0
-1.875	37.125	107.0
